ghi_luc,pair,ngay,h,p_giam,p_ngang,p_tang,b_pip,sigma_pip,che_do,mo_hinh,ma_cau_hinh
2026-09-04T04:07:44Z,EURUSD,2026-09-04,1,0.3451,0.3098,0.3451,12.93,36.29,0,chỉ σ̂,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,EURUSD,2026-09-04,5,0.3873,0.2494,0.3633,32.39,80.5,0,σ̂ + chế độ,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,EURUSD,2026-09-04,20,0.4185,0.2878,0.2938,57.23,159.78,0,σ̂ + chế độ,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,GBPUSD,2026-09-04,1,0.3107,0.3786,0.3107,15.98,36.85,0,chỉ σ̂,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,GBPUSD,2026-09-04,5,0.3597,0.3094,0.3309,38.65,84.79,0,σ̂ + chế độ,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,GBPUSD,2026-09-04,20,0.4077,0.3118,0.2806,76.57,171.98,0,σ̂ + chế độ,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,USDJPY,2026-09-04,1,0.4009,0.1981,0.4009,0.17,0.74,2,chỉ σ̂,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,USDJPY,2026-09-04,5,0.3713,0.1988,0.4299,0.38,1.74,2,σ̂ + chế độ,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,USDJPY,2026-09-04,20,0.3784,0.1904,0.4311,0.69,3.54,2,σ̂ + chế độ,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,AUDUSD,2026-09-04,1,0.3194,0.3612,0.3194,19.06,44.56,0,chỉ σ̂,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,AUDUSD,2026-09-04,5,0.3381,0.3381,0.3237,41.89,94.98,0,σ̂ + chế độ,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,AUDUSD,2026-09-04,20,0.3945,0.3657,0.2398,88.37,198.29,0,σ̂ + chế độ,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,USDCAD,2026-09-04,1,0.3749,0.2503,0.3749,11.43,40.14,0,chỉ σ̂,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,USDCAD,2026-09-04,5,0.3525,0.253,0.3945,28.71,86.18,0,σ̂ + chế độ,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,USDCAD,2026-09-04,20,0.3082,0.247,0.4448,60.42,185.16,0,σ̂ + chế độ,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,USDCHF,2026-09-04,1,0.3711,0.2578,0.3711,15.66,57.31,2,chỉ σ̂,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,USDCHF,2026-09-04,5,0.3198,0.2635,0.4168,38.25,141.62,2,σ̂ + chế độ,2026-01-01|2021-10-13
2026-09-04T04:07:44Z,USDCHF,2026-09-04,20,0.3162,0.2946,0.3892,76.33,251.7,2,σ̂ + chế độ,2026-01-01|2021-10-13
